id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total,customer_type
order_44,user_2899,2025-02-22,COLOMBIA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,318.38,5.0,313.38,RETAIL
order_45,user_6196,2025-02-10,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,354.06,10.0,698.12,RETAIL
order_46,user_5815,2025-04-24,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,359.31,10.0,349.31,RETAIL
order_47,user_406,2025-05-08,COLOMBIA,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,476.78,0.0,953.56,RETAIL
order_48,user_6187,2025-01-26,COLOMBIA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,137.96,0.0,275.93,RETAIL
order_49,user_7225,2025-04-04,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,433.76,0.0,867.53,RETAIL
order_50,user_1840,2025-02-05,MEXICO,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,495.38,5.0,490.38,RETAIL
order_51,user_5998,2025-02-21,MEXICO,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,382.94,0.0,765.89,RETAIL
order_52,user_5679,2025-04-17,ARGENTINA,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,415.01,0.0,830.01,RETAIL
order_53,user_5936,2025-01-02,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,236.49,0.0,472.98,RETAIL
order_54,user_3507,2025-05-02,COLOMBIA,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,56.5,0.0,56.5,RETAIL
order_55,user_2685,2025-05-10,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,326.15,5.0,321.15,RETAIL
order_56,user_6018,2025-03-10,COLOMBIA,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,120.43,0.0,120.43,RETAIL
order_57,user_4030,2025-04-17,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,85.87,15.0,70.87,RETAIL
order_58,user_6075,2025-06-20,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,331.45,10.0,321.45,RETAIL
order_59,user_6592,2025-05-16,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,113.04,15.0,211.08,RETAIL
order_60,user_5634,2025-02-28,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,319.85,0.0,639.69,RETAIL
order_61,user_3855,2025-04-20,COLOMBIA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,471.91,0.0,943.83,RETAIL
order_62,user_5199,2025-04-15,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,69.82,0.0,69.82,RETAIL
order_63,user_679,2025-05-13,ARGENTINA,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,437.98,10.0,865.95,RETAIL
order_64,user_6697,2025-04-03,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,35.5,10.0,25.5,RETAIL
order_65,user_2495,2025-04-24,ARGENTINA,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,120.0,10.0,230.0,RETAIL
order_66,user_5186,2025-01-03,MEXICO,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,269.68,0.0,269.68,RETAIL
order_67,user_2319,2025-05-13,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,390.6,15.0,375.6,RETAIL
order_68,user_2923,2025-01-22,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,289.49,0.0,578.99,RETAIL
order_69,user_3616,2025-04-13,MEXICO,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,350.87,0.0,350.87,RETAIL
order_70,user_3431,2025-02-12,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,26.86,0.0,53.73,RETAIL
order_71,user_4193,2025-04-11,MEXICO,DESKTOP,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,195.52,0.0,195.52,RETAIL
order_72,user_1741,2025-06-19,MEXICO,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,1,81.39,0.0,81.39,RETAIL
order_73,user_834,2025-02-08,COLOMBIA,MOBILE,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,2,234.24,5.0,463.48,RETAIL
order_124,user_6671,2025-04-12,DESCONOCIDO,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,1,298.44,5.0,293.44,RETAIL
order_125,user_5263,2025-05-30,DESCONOCIDO,MOBILE,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,1,133.13,0.0,133.13,RETAIL
order_126,user_4952,2025-04-19,DESCONOCIDO,DESKTOP,PAID_SEARCH,PHONE-PRO-128GB,ELECTRONICA,2,177.23,0.0,354.45,RETAIL
order_127,user_2619,2025-06-26,DESCONOCIDO,DESKTOP,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,1,329.53,10.0,319.53,RETAIL
order_128,user_2444,2025-05-06,DESCONOCIDO,DESKTOP,SOCIAL,VACUUM-PRO-BLACK,HOGAR,2,218.43,0.0,436.86,RETAIL
order_129,user_7157,2025-04-17,DESCONOCIDO,DESKTOP,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,1,367.88,10.0,357.88,RETAIL
order_130,user_3279,2025-02-06,DESCONOCIDO,DESKTOP,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,114.83,0.0,114.83,RETAIL
order_131,user_2914,2025-05-05,DESCONOCIDO,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,1,117.84,10.0,107.84,RETAIL
order_132,user_2173,2025-02-03,DESCONOCIDO,DESKTOP,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,1,383.84,0.0,383.84,RETAIL
order_133,user_4038,2025-05-12,DESCONOCIDO,MOBILE,SOCIAL,VACUUM-PRO-BLACK,HOGAR,2,345.85,0.0,691.69,RETAIL
order_134,user_3987,2025-01-31,DESCONOCIDO,MOBILE,PAID_SEARCH,BLENDER-XL-RED,HOGAR,1,313.25,10.0,303.25,RETAIL
order_135,user_7789,2025-04-27,DESCONOCIDO,DESKTOP,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,465.32,0.0,465.32,RETAIL
order_136,user_6937,2025-02-10,DESCONOCIDO,DESKTOP,ORGANIC,BLENDER-XL-RED,HOGAR,2,211.05,15.0,407.09,RETAIL
order_137,user_5299,2025-04-05,DESCONOCIDO,MOBILE,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,379.06,0.0,379.06,RETAIL
order_138,user_525,2025-01-31,DESCONOCIDO,DESKTOP,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,162.37,15.0,147.37,RETAIL
order_139,user_967,2025-04-15,DESCONOCIDO,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,1,449.32,0.0,449.32,RETAIL
order_140,user_2308,2025-04-05,DESCONOCIDO,DESKTOP,SOCIAL,JACKET-WINTER-M,MODA,1,107.28,0.0,107.28,RETAIL
order_141,user_5234,2025-01-11,DESCONOCIDO,MOBILE,PAID_SEARCH,BLENDER-XL-RED,HOGAR,2,400.21,0.0,800.43,RETAIL
order_142,user_4453,2025-01-31,DESCONOCIDO,DESKTOP,SOCIAL,JACKET-WINTER-M,MODA,2,425.61,0.0,851.21,RETAIL
order_143,user_6655,2025-04-06,DESCONOCIDO,MOBILE,ORGANIC,SNEAKERS-URBAN-42,MODA,2,477.23,15.0,939.46,RETAIL
order_144,user_5041,2025-05-05,DESCONOCIDO,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,2,177.04,10.0,344.08,RETAIL
order_145,user_5001,2025-02-06,DESCONOCIDO,DESKTOP,ORGANIC,BLENDER-XL-RED,HOGAR,1,286.93,5.0,281.93,RETAIL
order_146,user_6983,2025-05-31,DESCONOCIDO,MOBILE,PAID_SEARCH,BLENDER-XL-RED,HOGAR,1,401.15,5.0,396.15,RETAIL
order_147,user_6602,2025-03-20,DESCONOCIDO,MOBILE,ORGANIC,JACKET-WINTER-M,MODA,2,340.58,0.0,681.16,RETAIL
order_148,user_3543,2025-02-25,DESCONOCIDO,DESKTOP,SOCIAL,TABLET-STANDARD-64GB,ELECTRONICA,1,414.64,0.0,414.64,RETAIL
order_149,user_6151,2025-05-06,DESCONOCIDO,DESKTOP,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,1,58.8,0.0,58.8,RETAIL
order_150,user_5524,2025-05-21,DESCONOCIDO,DESKTOP,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,1,131.89,10.0,121.89,RETAIL
order_151,user_2376,2025-01-12,DESCONOCIDO,DESKTOP,PAID_SEARCH,LAPTOP-GAMING-16GB,ELECTRONICA,1,369.86,10.0,359.86,RETAIL
order_152,user_6776,2025-05-27,DESCONOCIDO,MOBILE,ORGANIC,VACUUM-PRO-BLACK,HOGAR,2,101.69,15.0,188.37,RETAIL
order_153,user_4363,2025-04-26,DESCONOCIDO,DESKTOP,SOCIAL,JACKET-WINTER-M,MODA,2,462.45,15.0,909.89,RETAIL
order_154,user_3842,2025-04-07,DESCONOCIDO,DESKTOP,SOCIAL,VACUUM-PRO-BLACK,HOGAR,2,173.48,0.0,346.96,RETAIL
order_155,user_2167,2025-06-05,DESCONOCIDO,MOBILE,ORGANIC,SNEAKERS-URBAN-42,MODA,1,450.43,5.0,445.43,RETAIL
order_156,user_386,2025-02-05,DESCONOCIDO,DESKTOP,ORGANIC,SNEAKERS-URBAN-42,MODA,2,149.1,5.0,293.2,RETAIL
order_157,user_4730,2025-04-28,DESCONOCIDO,MOBILE,SOCIAL,VACUUM-PRO-BLACK,HOGAR,2,73.87,15.0,132.75,RETAIL
order_158,user_3271,2025-06-20,DESCONOCIDO,DESKTOP,ORGANIC,BLENDER-XL-RED,HOGAR,1,391.24,0.0,391.24,RETAIL
order_159,user_6535,2025-03-25,DESCONOCIDO,DESKTOP,SOCIAL,TABLET-STANDARD-64GB,ELECTRONICA,2,481.61,0.0,963.22,RETAIL
order_160,user_6067,2025-06-09,DESCONOCIDO,DESKTOP,SOCIAL,SNEAKERS-URBAN-42,MODA,2,89.24,10.0,168.48,RETAIL
order_161,user_6287,2025-04-15,DESCONOCIDO,MOBILE,PAID_SEARCH,PHONE-PRO-128GB,ELECTRONICA,1,319.38,0.0,319.38,RETAIL
order_162,user_4209,2025-04-12,DESCONOCIDO,MOBILE,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,27.7,15.0,12.7,RETAIL
order_163,user_7532,2025-01-12,DESCONOCIDO,MOBILE,ORGANIC,SNEAKERS-URBAN-42,MODA,1,312.64,0.0,312.64,RETAIL
order_164,user_4202,2025-04-24,DESCONOCIDO,MOBILE,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,1,416.02,0.0,416.02,RETAIL
order_165,user_1958,2025-06-15,DESCONOCIDO,DESKTOP,SOCIAL,SNEAKERS-URBAN-42,MODA,2,130.98,5.0,256.95,RETAIL
order_166,user_3856,2025-02-12,DESCONOCIDO,DESKTOP,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,1,50.31,10.0,40.31,RETAIL
order_167,user_2658,2025-05-27,DESCONOCIDO,MOBILE,PAID_SEARCH,PHONE-PRO-128GB,ELECTRONICA,1,41.61,0.0,41.61,RETAIL
order_168,user_26,2025-03-21,DESCONOCIDO,DESKTOP,PAID_SEARCH,PHONE-PRO-128GB,ELECTRONICA,1,451.71,5.0,446.71,RETAIL
order_169,user_7215,2025-02-01,DESCONOCIDO,MOBILE,PAID_SEARCH,BLENDER-XL-RED,HOGAR,1,205.42,0.0,205.42,RETAIL
order_170,user_4780,2025-01-22,DESCONOCIDO,DESKTOP,SOCIAL,PHONE-PRO-128GB,ELECTRONICA,2,405.07,0.0,810.14,RETAIL
order_171,user_3243,2025-06-08,DESCONOCIDO,DESKTOP,PAID_SEARCH,BLENDER-XL-RED,HOGAR,2,155.61,10.0,301.23,RETAIL
order_172,user_1918,2025-01-14,DESCONOCIDO,DESKTOP,ORGANIC,LAPTOP-GAMING-16GB,ELECTRONICA,1,490.44,10.0,480.44,RETAIL
order_173,user_3776,2025-05-14,DESCONOCIDO,DESKTOP,PAID_SEARCH,JACKET-WINTER-M,MODA,2,319.58,0.0,639.16,RETAIL
order_174,user_7885,2025-05-02,DESCONOCIDO,MOBILE,ORGANIC,VACUUM-PRO-BLACK,HOGAR,2,46.38,0.0,92.76,RETAIL
order_175,user_5432,2025-01-05,DESCONOCIDO,MOBILE,SOCIAL,JACKET-WINTER-M,MODA,1,433.59,0.0,433.59,RETAIL
order_176,user_3422,2025-05-17,DESCONOCIDO,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,2,70.64,5.0,136.27,RETAIL
order_177,user_1962,2025-01-05,DESCONOCIDO,MOBILE,SOCIAL,JACKET-WINTER-M,MODA,2,407.16,10.0,804.33,RETAIL
order_178,user_3935,2025-02-22,DESCONOCIDO,MOBILE,SOCIAL,BLENDER-XL-RED,HOGAR,1,394.02,0.0,394.02,RETAIL
order_179,user_4944,2025-06-30,DESCONOCIDO,DESKTOP,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,2,299.32,0.0,598.65,RETAIL
order_180,user_203,2025-05-29,DESCONOCIDO,DESKTOP,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,2,451.16,15.0,887.31,RETAIL
order_181,user_1032,2025-05-17,DESCONOCIDO,MOBILE,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,1,331.62,0.0,331.62,RETAIL
order_182,user_3264,2025-04-13,DESCONOCIDO,DESKTOP,PAID_SEARCH,LAPTOP-GAMING-16GB,ELECTRONICA,2,118.91,0.0,237.81,RETAIL
order_183,user_1610,2025-05-06,DESCONOCIDO,DESKTOP,ORGANIC,SNEAKERS-URBAN-42,MODA,2,124.23,10.0,238.46,RETAIL
order_184,user_7528,2025-01-06,DESCONOCIDO,DESKTOP,PAID_SEARCH,LAPTOP-GAMING-16GB,ELECTRONICA,2,118.27,0.0,236.54,RETAIL
order_185,user_5790,2025-02-16,DESCONOCIDO,DESKTOP,PAID_SEARCH,JACKET-WINTER-M,MODA,2,41.08,0.0,82.16,RETAIL
order_186,user_6360,2025-05-16,DESCONOCIDO,DESKTOP,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,319.34,0.0,319.34,RETAIL
order_187,user_2335,2025-03-07,DESCONOCIDO,DESKTOP,PAID_SEARCH,LAPTOP-GAMING-16GB,ELECTRONICA,1,300.46,10.0,290.46,RETAIL
order_188,user_7144,2025-01-26,DESCONOCIDO,DESKTOP,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,384.46,15.0,369.46,RETAIL
order_189,user_722,2025-03-15,DESCONOCIDO,MOBILE,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,405.64,5.0,400.64,RETAIL
order_190,user_5830,2025-03-07,DESCONOCIDO,DESKTOP,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,1,426.76,5.0,421.76,RETAIL
order_191,user_1894,2025-02-09,DESCONOCIDO,MOBILE,SOCIAL,BLENDER-XL-RED,HOGAR,2,407.49,0.0,814.97,RETAIL
order_192,user_3638,2025-04-15,DESCONOCIDO,DESKTOP,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,2,428.74,0.0,857.48,RETAIL
order_193,user_3847,2025-01-16,DESCONOCIDO,MOBILE,SOCIAL,BLENDER-XL-RED,HOGAR,1,91.89,5.0,86.89,RETAIL
order_194,user_4978,2025-03-25,DESCONOCIDO,DESKTOP,SOCIAL,BLENDER-XL-RED,HOGAR,2,227.89,15.0,440.77,RETAIL
order_195,user_3364,2025-01-15,DESCONOCIDO,DESKTOP,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,32.28,15.0,17.28,RETAIL
order_196,user_1162,2025-01-26,DESCONOCIDO,MOBILE,PAID_SEARCH,JACKET-WINTER-M,MODA,1,370.92,5.0,365.92,RETAIL
order_197,user_305,2025-04-16,DESCONOCIDO,DESKTOP,ORGANIC,BLENDER-XL-RED,HOGAR,1,473.27,0.0,473.27,RETAIL
order_198,user_557,2025-03-08,DESCONOCIDO,MOBILE,PAID_SEARCH,BLENDER-XL-RED,HOGAR,2,308.81,5.0,612.62,RETAIL
order_199,user_4352,2025-01-31,DESCONOCIDO,DESKTOP,SOCIAL,SNEAKERS-URBAN-42,MODA,1,161.11,5.0,156.11,RETAIL
order_200,user_6085,2025-03-03,DESCONOCIDO,MOBILE,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,75.6,0.0,75.6,RETAIL
order_201,user_2480,2025-05-31,DESCONOCIDO,MOBILE,SOCIAL,TABLET-STANDARD-64GB,ELECTRONICA,2,388.91,0.0,777.82,RETAIL
order_202,user_4118,2025-05-11,DESCONOCIDO,MOBILE,SOCIAL,LAPTOP-GAMING-16GB,ELECTRONICA,1,477.39,0.0,477.39,RETAIL
order_203,user_6043,2025-04-09,DESCONOCIDO,DESKTOP,SOCIAL,LAPTOP-GAMING-16GB,ELECTRONICA,2,69.57,0.0,139.14,RETAIL
order_204,user_6058,2025-03-10,DESCONOCIDO,DESKTOP,ORGANIC,PHONE-PRO-128GB,ELECTRONICA,2,411.23,10.0,812.45,RETAIL
order_205,user_2941,2025-04-29,DESCONOCIDO,DESKTOP,ORGANIC,LAPTOP-GAMING-16GB,ELECTRONICA,2,31.01,0.0,62.03,RETAIL
order_206,user_113,2025-01-17,DESCONOCIDO,DESKTOP,ORGANIC,BLENDER-XL-RED,HOGAR,1,271.73,5.0,266.73,RETAIL
order_207,user_3565,2025-04-15,DESCONOCIDO,DESKTOP,ORGANIC,SNEAKERS-URBAN-42,MODA,2,264.86,0.0,529.73,RETAIL
order_208,user_7353,2025-01-05,DESCONOCIDO,MOBILE,ORGANIC,VACUUM-PRO-BLACK,HOGAR,2,258.83,10.0,507.65,RETAIL
order_209,user_5107,2025-05-31,DESCONOCIDO,MOBILE,PAID_SEARCH,LAPTOP-GAMING-16GB,ELECTRONICA,2,112.42,5.0,219.85,RETAIL
order_210,user_1338,2025-03-05,DESCONOCIDO,MOBILE,SOCIAL,SNEAKERS-URBAN-42,MODA,1,72.24,5.0,67.24,RETAIL
order_211,user_7774,2025-06-16,DESCONOCIDO,MOBILE,SOCIAL,PHONE-PRO-128GB,ELECTRONICA,2,356.39,0.0,712.78,RETAIL
order_212,user_7893,2025-03-19,DESCONOCIDO,MOBILE,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,2,376.6,10.0,743.2,RETAIL
order_213,user_4105,2025-04-25,DESCONOCIDO,DESKTOP,PAID_SEARCH,PHONE-PRO-128GB,ELECTRONICA,1,373.18,10.0,363.18,RETAIL
order_214,user_1200,2025-06-12,DESCONOCIDO,MOBILE,ORGANIC,VACUUM-PRO-BLACK,HOGAR,2,197.44,0.0,394.87,RETAIL
order_215,user_1463,2025-02-06,DESCONOCIDO,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,1,105.68,0.0,105.68,RETAIL
order_216,user_3529,2025-02-13,DESCONOCIDO,MOBILE,PAID_SEARCH,BLENDER-XL-RED,HOGAR,2,315.65,0.0,631.3,RETAIL
order_217,user_1738,2025-05-18,DESCONOCIDO,DESKTOP,SOCIAL,BLENDER-XL-RED,HOGAR,2,250.32,5.0,495.64,RETAIL
order_218,user_1010,2025-05-23,DESCONOCIDO,MOBILE,ORGANIC,VACUUM-PRO-BLACK,HOGAR,2,208.1,0.0,416.21,RETAIL
order_219,user_4473,2025-01-01,DESCONOCIDO,DESKTOP,ORGANIC,SNEAKERS-URBAN-42,MODA,2,367.19,10.0,724.37,RETAIL
order_220,user_562,2025-06-08,DESCONOCIDO,MOBILE,PAID_SEARCH,JACKET-WINTER-M,MODA,1,371.39,5.0,366.39,RETAIL
order_221,user_2589,2025-02-12,DESCONOCIDO,MOBILE,PAID_SEARCH,JACKET-WINTER-M,MODA,1,194.19,0.0,194.19,RETAIL
